country_code,country,year,cambio_lcu_usd,classe_trabalhadora,desemprego_pct,esperanca_de_vida,pib_per_capita_usd,populacao,usd_to_eur_master,pib_per_capita_eur,pop_abs_var,pib_pc_eur_abs_var,desemprego_abs_var,esperanca_de_vida_abs_var,pop_pc_crescimento,pib_pc_eur_crescimento,desemprego_absoluto,pib_crescimento_med_25y
FRA,France,2016,0.903421436257263,30280138.0,10.057,82.5731707317073,37024.2157133669,66724104.0,0.903421436257263,33448.47013606865,175832.0,368.6991091064847,-0.2969999999999988,0.2512195121950924,0.2642172286607236,1.1145757593242545,3045273.0,2.228054001184146
FRA,France,2017,0.885205508269372,30347085.0,9.409,82.5756097560976,38687.1626407164,66918020.0,0.885205508269372,34246.08946887522,193916.0,797.619332806571,-0.6479999999999997,0.0024390243903127384,0.29062361032228257,2.3846212683624968,2855357.0,2.236752182694054
FRA,France,2018,0.846772667108111,30534890.0,9.018,82.6756097560976,41418.1766484844,67158348.0,0.846772667108111,35071.77990739202,240328.0,825.6904385167945,-0.391,0.09999999999999432,0.3591379422164698,2.411050287266314,2753636.0,2.2459257671452257
FRA,France,2019,0.893276257067409,30500444.0,8.415,82.8268292682927,40408.2848574751,67382061.0,0.893276257067409,36095.76145199902,223713.0,1023.9815446069988,-0.6030000000000015,0.1512195121950981,0.33311272040223994,2.919673730021266,2566612.0,2.2796131652890277
FRA,France,2020,0.875506396987998,30289755.0,8.009,82.1756097560976,39169.8606000707,67601110.0,0.875506396987998,34293.46352449004,219049.0,-1802.2979275089747,-0.4059999999999988,-0.6512195121950981,0.32508504006727446,-4.993101281173173,2425906.0,1.9332934297432085
FRA,France,2021,0.84549413889045,31188658.0,7.871,82.3243902439024,43725.0999521245,67842811.0,0.84549413889045,36969.31573192036,241701.0,2675.8522074303182,-0.1379999999999999,0.14878048780479958,0.35753998713925483,7.80280535245268,2454859.0,2.2000894262300026
FRA,France,2022,0.949623753156941,31586796.0,7.303,82.1292682926829,40988.6396406579,68184457.0,0.949623753156941,38923.785812358925,341646.0,1954.4700804385648,-0.5680000000000005,-0.19512195121950526,0.5035846760535811,5.286735882836524,2306784.0,2.33429144608246
FRA,France,2023,0.924839558470698,31826568.0,7.335,82.9292682926829,44700.1384177544,68372286.0,0.924839558470698,41340.45627785507,187829.0,2416.670465496143,0.03200000000000003,0.8000000000000114,0.27547187183729616,6.208724087493089,2334479.0,2.4957261394745696
DEU,Germany,1999,0.938283072395283,40339143.0,8.854,77.7268292682927,26965.4922773722,82100243.0,0.938283072395283,25301.264942664064,,,,,,,3571628.0,
DEU,Germany,2000,1.08270508132602,40210993.0,7.917,77.9268292682927,23925.8559901991,82211508.0,1.08270508132602,25904.64585566316,111265.0,603.380912999095,-0.9369999999999994,0.20000000000000284,0.13552335039983543,2.3847855605892976,3183504.0,2.3847855605892976
DEU,Germany,2001,1.11653308564462,40298909.0,7.773,78.3292682926829,23878.3641471651,82349925.0,1.11653308564462,26660.983601380114,138417.0,756.3377457169554,-0.14400000000000013,0.4024390243901905,0.16836693957735793,2.919699230520867,3132434.0,2.6522423955550822
DEU,Germany,2002,1.05755899623965,40394421.0,8.482,78.2292682926829,25486.5942008748,82488495.0,1.05755899623965,26953.57698064444,138570.0,292.59337926432636,0.7089999999999996,-0.09999999999999432,0.16826973430759118,1.0974590571714016,3426255.0,2.133981282760522
DEU,Germany,2003,0.88404792718493,40574932.0,9.779,78.3804878048781,30711.1022511331,82534176.0,0.88404792718493,27150.086286678652,45681.0,196.50930603421148,1.2970000000000006,0.15121951219519758,0.05537863189284398,0.7290657791926058,3967823.0,1.782752406868543
DEU,Germany,2004,0.803921647747618,40416992.0,10.727,78.6804878048781,34566.7359143735,82516260.0,0.803921647747618,27788.94729353991,-17916.0,638.8610068612579,0.9480000000000004,0.29999999999999716,-0.021707371259149788,2.353071736551793,4335531.0,1.896816272805193
DEU,Germany,2005,0.803800192161442,41133962.0,11.193,78.9317073170732,35084.4363546269,82469422.0,0.803800192161442,28200.876683724986,-46838.0,411.92939018507604,0.4659999999999993,0.25121951219510663,-0.05676214603037577,1.4823497480267456,4604124.0,1.8277385186754518
DEU,Germany,2006,0.796432730949102,41693194.0,10.277,79.1317073170732,36980.3349948954,82376451.0,0.796432730949102,29452.34919139719,-92971.0,1251.4725076722025,-0.9160000000000004,0.19999999999998863,-0.11273390518002913,4.437707812092384,4284810.0,2.2005912748778704
DEU,Germany,2007,0.729672399984083,41795078.0,8.732,79.5341463414634,42350.9217211489,82266372.0,0.729672399984083,30902.29869380875,-110079.0,1449.9495024115604,-1.545,0.40243902439020474,-0.1336292091534741,4.923035147346,3649546.0,2.5408967589363867
DEU,Germany,2008,0.679922680042729,41800249.0,7.508,79.7365853658537,46379.1647953479,82110097.0,0.679922680042729,31534.246025796332,-156275.0,631.9473319875833,-1.2239999999999993,0.20243902439030137,-0.18996218770896967,2.0449848674661597,3138363.0,2.4857954376619174
DEU,Germany,2009,0.716957702016136,41823603.0,7.88,79.8365853658537,42471.8868625226,81902307.0,0.716957702016136,30450.54640524352,-207790.0,-1083.6996205528121,0.3719999999999999,0.09999999999999432,-0.25306266536258004,-3.436580090312924,3295700.0,1.893557884864433
DEU,Germany,2010,0.754308990105961,41860532.0,7.043,79.9878048780488,42396.9665976293,81776930.0,0.754308990105961,31980.41305781392,-125377.0,1529.8666525703993,-0.8369999999999997,0.15121951219511232,-0.15308115801915267,5.024102465061042,2948237.0,2.1781528467004887
DEU,Germany,2011,0.718413898653317,41522681.0,5.967,80.4365853658537,47630.9761883572,80274983.0,0.718413898653317,34218.755300141005,-1501947.0,2238.342242327086,-1.0760000000000005,0.4487804878048962,-1.8366390129832433,6.999103602197465,2477658.0,2.579898742991903
DEU,Germany,2012,0.778338120416812,41764438.0,5.372,80.5390243902439,44718.0159214069,80425823.0,0.778338120416812,34805.73646103692,150840.0,586.9811608959135,-0.5949999999999998,0.10243902439019337,0.18790411951878916,1.715378469343376,2243586.0,2.5133971834804782
DEU,Germany,2013,0.752945122701996,42179007.0,5.316,80.490243902439,47206.8353514242,80645605.0,0.752945122701996,35544.15643605102,219782.0,738.4199750140979,-0.05600000000000005,-0.04878048780489053,0.2732729262838962,2.12154676238705,2242236.0,2.48540786768809
DEU,Germany,2014,0.752728196932603,42451594.0,4.979,81.090243902439,48959.5991203133,80982500.0,0.752728196932603,36853.27076837648,336895.0,1309.1143323254655,-0.33699999999999974,0.5999999999999943,0.41774750155325613,3.6830648511260833,2113665.0,2.5652516665839564
DEU,Germany,2015,0.901296423367096,42693402.0,4.612,80.6414634146341,41929.7549110722,81686611.0,0.901296423367096,37791.13813400831,704111.0,937.8673656318279,-0.367,-0.4487804878048962,0.8694606859506626,2.544868735061101,1969020.0,2.563977733363778
DEU,Germany,2016,0.903421436257263,43118037.0,4.104,80.990243902439,42948.9381932694,82348669.0,0.903421436257263,38800.99142828786,662058.0,1009.85329427955,-0.508,0.3487804878049019,0.8104853315557436,2.6721960336272055,1769564.0,2.570343515732215
DEU,Germany,2017,0.885205508269372,43391708.0,3.781,80.9926829268293,45553.9341495339,82657002.0,0.885205508269372,40324.59343250767,308333.0,1523.602004219807,-0.32299999999999995,0.0024390243902985276,0.3744237809113926,3.9267089528775,1640640.0,2.645697151129175
DEU,Germany,2018,0.846772667108111,43612526.0,3.384,80.8926829268293,48916.1686612154,82905782.0,0.846772667108111,41420.87460196756,248780.0,1096.2811694598931,-0.39700000000000024,-0.10000000000000853,0.30097873619949755,2.7186415934850494,1475848.0,2.6495363323058
DEU,Germany,2019,0.893276257067409,43981829.0,3.163,81.2926829268293,47656.199739747,83092962.0,0.893276257067409,42570.15172957803,187180.0,1149.2771276104686,-0.22100000000000009,0.4000000000000057,0.2257743615517782,2.7746326910148778,1391145.0,2.655791150241254
DEU,Germany,2020,0.875506396987998,43372704.0,3.881,81.0414634146342,47394.8734504469,83160871.0,0.875506396987998,41494.5148903029,67909.0,-1075.636839275132,0.718,-0.25121951219510663,0.08172653659885842,-2.526739500737485,1683295.0,2.4090039763851236
DEU,Germany,2021,0.84549413889045,43283278.0,3.594,80.790243902439,52349.2459994422,83196078.0,0.84549413889045,44260.98066786272,35207.0,2766.4657775598243,-0.2869999999999999,-0.2512195121951919,0.04233601641809859,6.6670637911381725,1555601.0,2.6025521497829893
DEU,Germany,2022,0.949623753156941,43561312.0,3.137,80.6080487804878,50506.5179638543,83177813.0,0.949623753156941,47962.18914772378,-18265.0,3701.2084798610595,-0.45699999999999985,-0.18219512195119592,-0.021954159906434345,8.362237853777277,1366518.0,2.8529732673479584
DEU,Germany,2023,0.924839558470698,43771247.0,3.071,80.5414634146342,54776.7668235491,83287273.0,0.924839558470698,50659.720843543524,109460.0,2697.5316958197436,-0.06599999999999984,-0.06658536585361219,0.13159759321876852,5.624288098091879,1344215.0,2.9684447186289553
GRC,Greece,1999,305.646604166667,4664083.0,12.138,77.9878048780488,12742.5404388143,10761698.0,0.938283072395283,11956.109993051818,,,,,,,566126.0,
GRC,Greece,2000,365.398560833333,4679182.0,11.345,77.8878048780488,11638.2010697215,10805808.0,1.08270508132602,12600.739435681387,44110.0,644.6294426295699,-0.7929999999999993,-0.10000000000000853,0.40987955618156935,5.3916319187778505,530853.0,5.3916319187778505
GRC,Greece,2001,1.11653308564462,4642262.0,10.764,78.3878048780488,12156.9572824221,10862132.0,1.11653308564462,13573.645026592581,56324.0,972.9055909111939,-0.5810000000000013,0.5,0.521238208193231,7.721019832822096,499693.0,6.556325875799973
GRC,Greece,2002,1.05755899623965,4692781.0,10.346,78.6414634146341,13782.195640943,10902022.0,1.05755899623965,14575.484988014161,39890.0,1001.8399614215796,-0.41799999999999926,0.2536585365853057,0.3672391386884355,7.38077325183355,485515.0,6.831141667811166
GRC,Greece,2003,0.88404792718493,4751371.0,9.839,78.8414634146341,18020.612039764,10928070.0,0.88404792718493,15931.084720357157,26048.0,1355.5997323429965,-0.5069999999999997,0.20000000000000284,0.23892815479551466,9.300546317722835,467487.0,7.448492830289083
GRC,Greece,2004,0.803921647747618,4833969.0,10.628,79.0390243902439,21449.2552764245,10955141.0,0.803921647747618,17243.520644782475,27071.0,1312.4359244253174,0.7889999999999997,0.19756097560978958,0.24771986270220037,8.238208178933682,513754.0,7.606435900018002
GRC,Greece,2005,0.803800192161442,4871505.0,10.074,79.2390243902439,22054.1315756886,10987314.0,0.803800192161442,17727.11519849222,32173.0,483.59455370974683,-0.5540000000000003,0.20000000000000284,0.29367946975762393,2.804500099903162,490755.0,6.8061132666655295
GRC,Greece,2006,0.796432730949102,4920904.0,8.906,79.4390243902439,24416.0232970275,11020362.0,0.796432730949102,19445.72011336851,33048.0,1718.6049148762868,-1.1679999999999993,0.20000000000000284,0.30078324875397744,9.694780541745796,438256.0,7.218780020248425
GRC,Greece,2007,0.729672399984083,4926848.0,8.351,79.4390243902439,28440.7625328955,11048473.0,0.729672399984083,20752.439454755244,28111.0,1306.7193413867353,-0.5549999999999997,0.0,0.2550823648079792,6.71983003853065,411441.0,7.156411272533703
GRC,Greece,2008,0.679922680042729,4948462.0,7.664,79.9390243902439,31695.8331092209,11077841.0,0.679922680042729,21550.71579380854,29368.0,798.2763390532964,-0.6870000000000012,0.5,0.26581048801948004,3.8466626576297624,379250.0,6.788661426433265
GRC,Greece,2009,0.716957702016136,5000038.0,9.546,80.1878048780488,29425.4573200263,11107017.0,0.716957702016136,21096.808260939943,29176.0,-453.9075328685976,1.8819999999999997,0.24878048780489337,0.26337261926761,-2.106229497022105,477304.0,5.899172334087728
GRC,Greece,2010,0.754308990105961,5021719.0,12.719,80.3878048780488,26653.0488008626,11121341.0,0.754308990105961,20104.634324223563,14324.0,-992.1739367163791,3.173,0.20000000000000284,0.12896351918791904,-4.702957549049525,638712.0,4.935342344711614
GRC,Greece,2011,0.718413898653317,4943412.0,17.973,80.7317073170732,25504.7866510124,11104899.0,0.718413898653317,18322.993212274894,-16442.0,-1781.6411119486693,5.254,0.3439024390244043,-0.14784188345632332,-8.861842912517016,888479.0,3.785576906609228
GRC,Greece,2012,0.778338120416812,4890730.0,24.731,80.6341463414634,21624.346052551,11045011.0,0.778338120416812,16831.052861785254,-59888.0,-1491.94035048964,6.758000000000003,-0.09756097560979526,-0.5392935136105281,-8.142448852134942,1209526.0,2.8680364636289073
GRC,Greece,2013,0.752945122701996,4825291.0,27.686,81.2853658536585,21573.3449762805,10965211.0,0.752945122701996,16243.544880258009,-79800.0,-587.5079815272456,2.9549999999999983,0.6512195121950981,-0.72249814871167,-3.4906193115296857,1335930.0,2.4138467654032936
GRC,Greece,2014,0.752728196932603,4766187.0,26.708,81.3853658536585,21474.7257123892,10892413.0,0.752728196932603,16164.631565108932,-72798.0,-78.91331514907688,-0.9780000000000015,0.09999999999999432,-0.6638996732484248,-0.48581338452166056,1272953.0,2.22053608874163
GRC,Greece,2015,0.901296423367096,4737907.0,24.981,81.0365853658537,17980.7298238137,10820883.0,0.901296423367096,16205.967479733363,-71530.0,41.3359146244311,-1.7269999999999968,-0.3487804878048024,-0.6566956284158487,0.2557182603137864,1183577.0,2.0977349744648897
GRC,Greece,2016,0.903421436257263,4715851.0,23.514,81.3878048780488,17919.2426377048,10775971.0,0.903421436257263,16188.627920397656,-44912.0,-17.339559335707236,-1.4670000000000023,0.35121951219510095,-0.41504930789844074,-0.10699490392901412,1108885.0,1.9680449816181895
GRC,Greece,2017,0.885205508269372,4695990.0,21.413,81.2878048780488,18631.9930129293,10754679.0,0.885205508269372,16493.142845081467,-21292.0,304.51492468381184,-2.100999999999999,-0.09999999999999432,-0.19758776262482902,1.8810422117375492,1005552.0,1.9632114944025985
GRC,Greece,2018,0.846772667108111,4668888.0,19.179,81.7878048780488,19873.4015238771,10732882.0,0.846772667108111,16828.25321288381,-21797.0,335.1103678023428,-2.2340000000000018,0.5,-0.2026745754103887,2.0318163187574623,895446.0,1.9668222746318018
GRC,Greece,2019,0.893276257067409,4672995.0,17.045,81.6390243902439,19335.3602002969,10721582.0,0.893276257067409,17271.81818877136,-11300.0,443.56497588755155,-2.133999999999997,-0.14878048780489905,-0.10528393026215666,2.6358349275845017,796512.0,2.0002729072794367
GRC,Greece,2020,0.875506396987998,4596339.0,15.899,81.2878048780488,17886.733165236,10698599.0,0.875506396987998,15659.949307381501,-22983.0,-1611.8688813898607,-1.1460000000000026,-0.35121951219510095,-0.21436202232095747,-9.332363644481612,730772.0,1.4606235476717677
GRC,Greece,2021,0.84549413889045,4573547.0,14.656,80.0829268292683,20654.7001960815,10569207.0,0.84549413889045,17463.427956326337,-129392.0,1803.478648944836,-1.2429999999999986,-1.2048780487805004,-1.2094293841651615,11.516503748161844,670299.0,1.9177090113304076
GRC,Greece,2022,0.949623753156941,4659964.0,12.426,80.7878048780488,20886.5243087629,10436882.0,0.949623753156941,19834.339604491106,-132325.0,2370.911648164769,-2.2300000000000004,0.7048780487805004,-1.2519860761549984,13.576439024996102,579047.0,2.424610316272394
GRC,Greece,2023,0.924839558470698,4658631.0,11.023,81.5365853658537,23343.7103964562,10407351.0,0.924839558470698,21589.186816126396,-29531.0,1754.8472116352896,-1.4030000000000005,0.7487804878048934,-0.282948489788426,8.847520243315476,513521.0,2.692231563232523
HUN,Hungary,1999,237.145833333333,4319306.0,6.929,70.6770731707317,4801.95949584162,10237530.0,0.938283072395283,4505.59730927598,,,,,,,299285.0,
HUN,Hungary,2000,282.179166666667,4344023.0,6.563,71.2463414634146,4629.91760812548,10210971.0,1.08270508132602,5012.835320438269,-26559.0,507.2380111622897,-0.36600000000000055,0.5692682926828923,-0.25942781120055214,11.257952638554801,285098.0,11.257952638554801
HUN,Hungary,2001,286.49,4378291.0,5.671,72.2487804878049,5280.94887987063,10187576.0,1.11653308564462,5896.354147973454,-23395.0,883.5188275351848,-0.8919999999999995,1.0024390243902985,-0.22911631029017832,17.625131708055775,248293.0,14.441542173305288
HUN,Hungary,2002,257.886666666667,4404391.0,5.608,72.3487804878049,6658.04494326809,10158608.0,1.05755899623965,7041.2753271210795,-28968.0,1144.9211791476255,-0.06300000000000061,0.10000000000000853,-0.28434634499904243,19.417442548648967,246998.0,16.10017563175318
HUN,Hungary,2003,224.306666666667,4420410.0,5.79,72.3,8410.09248198479,10129552.0,0.88404792718493,7434.924826132216,-29056.0,393.64949901113687,0.18200000000000038,-0.04878048780490474,-0.2860234394318595,5.590599440060329,255942.0,13.472781583829969
HUN,Hungary,2004,202.745833333333,4441310.0,5.832,72.6487804878049,10291.2694721409,10107146.0,0.803921647747618,8273.374311458272,-22406.0,838.4494853260558,0.041999999999999815,0.3487804878049019,-0.22119438253537238,11.277175021044993,259017.0,13.033660271272973
HUN,Hungary,2005,199.5825,4456354.0,7.189,72.6487804878049,11212.2046968994,10087065.0,0.803800192161442,9012.37228992116,-20081.0,738.9979784628886,1.3570000000000002,0.0,-0.1986812103040747,8.932243974981379,320367.0,12.350090888557707
HUN,Hungary,2006,210.39,4468587.0,7.494,73.0975609756098,11478.4891640501,10071370.0,0.796432730949102,9141.844472094095,-15695.0,129.47218217293448,0.3049999999999997,0.4487804878048962,-0.1555953094383722,1.4366049027704664,334876.0,10.791021462016673
HUN,Hungary,2007,183.625833333333,4463496.0,7.406,73.1512195121951,13934.605460375,10055780.0,0.729672399984083,10167.697009103133,-15590.0,1025.8525370090374,-0.08800000000000008,0.05365853658530284,-0.1547952264686958,11.22150502713648,330567.0,10.84483190765665
HUN,Hungary,2008,172.113333333333,4452834.0,7.817,73.7024390243903,15762.6322515113,10038188.0,0.679922680042729,10717.37116497552,-17592.0,549.6741558723879,0.4110000000000005,0.5512195121952033,-0.1749441614673386,5.406083161017339,348078.0,10.240526491363392
HUN,Hungary,2009,202.341666666667,4400693.0,10.03,73.9048780487805,13051.1831777184,10022650.0,0.716957702016136,9357.146299688635,-15538.0,-1360.2248652868857,2.212999999999999,0.2024390243902019,-0.15478889217854785,-12.69177715643659,441390.0,7.947296126583394
